"focal_GC" "sister_GC" "delta_GC" "directionGC" "related_GC3" "focal_GC3" "change_in_dNdS" "focal_dS" "related_dS" "focal_dNdS" "related_dNdS" "deltaGC3" "focal_branch_length" "sister_branch_length" "focal_CUB" "sister_CUB" "focal_genome_size" "sister_genome_size" "genome_size_ratio" "focal_genome_size_checkM" "sister_genome_size_checkM" "genome_size_ratio_checkM" "focal_coding_density" "sister_coding_density" "focal_pseudogenes" "sister_pseudogenes" "focal_IGR_length" "sister_IGR_length" "focal_metabolism" "sister_metabolism" "focal_isolation" "sister_isolation" "endoSymb_status"
"Sphingomonadale_jump11" 39.89 54.81 -14.92 "-1" NA NA NA NA NA NA NA NA NA NA NA NA 2.61 2.93 0.89 2.76 2.96 0.93 92 88 NA NA NA NA NA NA NA NA "0"
"Rhizobiale_jump1" 56.7 63.61 -6.91 "-1" NA NA NA NA NA NA NA NA NA NA NA NA 4.1 3.05 1.34 4.69 3.27 1.43 86 87 NA NA NA NA NA "NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA" NA "NA|NA|NA|NA|NA|NA|sediment|NA|NA|NA|NA|NA" "0"
"Rhizobiale_jump2" 49.61 63.09 -13.48 "-1" NA NA NA NA NA NA NA NA NA NA NA NA 1.46 4.19 0.35 2.35 4.2 0.56 74 87 NA NA NA NA NA "NA|aerobic|NA|facultative" NA "NA|soil|water|NA" "0"
"Rhizobiale_jump3" 57.11 61.8 -4.69 "-1" NA NA NA NA NA NA NA NA 0.022 0.025 0.25 0.21 4.37 4.1 1.07 4.4 4.13 1.07 83 85 2.8 2.8 156 131 "NA|aerobic" "aerobic|aerobic|NA|obligate aerobic" "host|soil" "soil|water|NA|sediment" "0"
"Rhizobiale_jump4" 71.78 64.19 7.59 "1" NA NA NA NA NA NA NA NA 0.02 0.04 0.68 0.59 5.25 4.18 1.26 5.28 4.27 1.24 89.76 87.85 2.4 3.9 135 148 "facultative" NA "rock" NA "0"
"Rhizobiale_jump5" 60.09 63.34 -3.25 "-1" NA NA NA NA NA NA NA NA NA NA NA NA 2.62 7.83 0.33 2.83 7.84 0.36 91.49 85.5 NA 1.8 NA NA NA "NA|NA|NA|NA|aerobic|NA|NA|aerobic|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|aerobic|NA|NA|aerobic|NA|NA|NA|aerobic|NA|NA|NA|NA|aerobic|NA|aerobic|aerobic|NA|aerobic|NA|aerobic|NA|aerobic|aerobic|aerobic|NA|aerobic|NA|NA|aerobic|aerobic|aerobic|NA|aerobic|obligate aerobic|NA|aerobic|NA|aerobic|NA|NA|NA|NA|aerobic|NA|aerobic|aerobic|NA|NA|NA|NA|NA|aerobic|NA|facultative|facultative|facultative|facultative|facultative|facultative|facultative|facultative|NA|aerobic|NA|NA|facultative|facultative|NA|NA|NA|NA" NA "NA|NA|NA|wastewater|host|NA|NA|host|NA|NA|water|NA|NA|host|NA|NA|NA|NA|NA|NA|host|NA|NA|host|NA|NA|host|NA|NA|NA|host|NA|NA|NA|host|host|NA|host|NA|NA|host|NA|host|NA|host|host|host|soil|host|NA|NA|host|host|host|host|host|soil|NA|host|host|host|NA|NA|NA|NA|host|NA|host|host|NA|soil|NA|NA|NA|NA|host|sediment|sediment|sediment|sediment|sediment|sediment|sediment|sediment|NA|soil|NA|NA|water|NA|NA|NA|NA|NA" "0"
"Rhizobiale_jump6" 69.28 63.34 5.94 "1" NA NA NA NA NA NA NA NA NA NA 0.59 0.61 4.83 7.83 0.62 4.86 7.84 0.62 84.86 85.5 3.7 1.8 190 154 "facultative" "NA|NA|NA|NA|aerobic|NA|NA|aerobic|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|aerobic|NA|NA|aerobic|NA|NA|NA|aerobic|NA|NA|NA|NA|aerobic|NA|aerobic|aerobic|NA|aerobic|NA|aerobic|NA|aerobic|aerobic|aerobic|NA|aerobic|NA|NA|aerobic|aerobic|aerobic|NA|aerobic|obligate aerobic|NA|aerobic|NA|aerobic|NA|NA|NA|NA|aerobic|NA|aerobic|aerobic|NA|NA|NA|NA|NA|aerobic|NA|facultative|facultative|facultative|facultative|facultative|facultative|facultative|facultative|NA|aerobic|NA|NA|facultative|facultative|NA|NA|NA|NA" "soil" "NA|NA|NA|wastewater|host|NA|NA|host|NA|NA|water|NA|NA|host|NA|NA|NA|NA|NA|NA|host|NA|NA|host|NA|NA|host|NA|NA|NA|host|NA|NA|NA|host|host|NA|host|NA|NA|host|NA|host|NA|host|host|host|soil|host|NA|NA|host|host|host|host|host|soil|NA|host|host|host|NA|NA|NA|NA|host|NA|host|host|NA|soil|NA|NA|NA|NA|host|sediment|sediment|sediment|sediment|sediment|sediment|sediment|sediment|NA|soil|NA|NA|water|NA|NA|NA|NA|NA" "0"
"Rhizobiale_jump7" 52.29 59.8 -7.51 "-1" 0.582 0.511 1.605 0.406 0.84 0.065 0.042 -0.071 NA NA 0.93 0.77 5.13 5.32 0.96 5.31 5.34 0.99 87 89 2.8 1.8 112 102 "aerobic|NA|anaerobic|NA|NA|NA|NA" "NA|NA|aerobic|NA|aerobic|aerobic|aerobic|obligate aerobic|aerobic|aerobic|aerobic|facultative" "water|NA|host|NA|NA|NA|NA" "water|NA|sediment|soil|NA|NA|NA|host|NA|water|NA|NA" "0"
"Rhizobiale_jump8" 47.02 53.29 -6.27 "-1" NA NA NA NA NA NA NA NA 0.011 0.003 1.12 1.09 3.68 3.75 0.98 3.76 3.81 0.99 86 88 1.4 2.2 119 99 NA NA NA NA "0"
"Rhizobiale_jump9" 52.09 59.8 -7.70999999999999 "-1" NA NA NA NA NA NA NA NA 0.07 0.12 0.8 0.77 5.08 5.32 0.95 5.17 5.34 0.97 86.96 88.51 NA 1.8 170 147 "NA|NA" "NA|NA|aerobic|NA|aerobic|aerobic|aerobic|obligate aerobic|aerobic|aerobic|aerobic|facultative" "NA|NA" "water|NA|sediment|soil|NA|NA|NA|host|NA|water|NA|NA" "0"
