n_gained n_lost
vsr 0 1
ung 3 1
dnaQ 0 0
mutY 0 0
mutM 0 1
mutH 1 1
mutS 0 2
mutL 0 1
xth 0 2
uvrC 0 1
uvrB 0 2
uvrA 0 3
umuD 5 1
umuC 8 6
tag 0 3
ssb 2 0
ruvB 0 0
ruvA 0 0
recU 0 0
recT 3 1
recR 0 1
recO 0 3
recF 2 2
recD 6 6
recC 0 0
recB 1 0
reca 0 1
phr 0 1
ogt 4 6
nth 0 1
nfo 0 1
nei 0 2
ndk 0 1
mutT 0 5
mug 1 1
mpg 1 2
mfd 0 1
dinB 0 2
alkB 4 4
ada 4 13
alkA 2 9
ku 1 10
